mode,name,hashcat_h_s,hashdog_h_s,improvement_pct
0,MD5,12076000,12094500,+0.2
1400,SHA256,11645900,12044500,+3.4
1700,SHA512,11520700,12198300,+5.9
400,phpass,876200,1048000,+19.6
500,md5crypt,464500,480900,+3.5
7400,sha256crypt,116000,197600,+70.3
1800,sha512crypt,74949,113700,+51.7
3200,bcrypt,16351,19417,+18.8
