mode,name,hashcat_h_s,hashdog_h_s,improvement_pct
0,MD5,12113600,12414500,+2.5
1400,SHA256,11604300,11745500,+1.2
1700,SHA512,11959600,12301700,+2.9
400,phpass,912800,1006800,+10.3
500,md5crypt,375100,480100,+28.0
7400,sha256crypt,146900,198000,+34.8
1800,sha512crypt,73038,108600,+48.7
3200,bcrypt,16043,19346,+20.6
