mode,name,hashcat_h_s,hashdog_h_s,improvement_pct
0,MD5,12066400,12289200,+1.8
1400,SHA256,12056500,11850700,-1.7
1700,SHA512,11603900,12263700,+5.7
400,phpass,878200,1003300,+14.2
500,md5crypt,533900,557100,+4.3
7400,sha256crypt,115900,197200,+70.1
1800,sha512crypt,78590,108200,+37.7
3200,bcrypt,16146,19380,+20.0
